,id,source,job_title,job_description,created_at
jobsdb-hk-job-100003010187041,jobsdb-hk-job-100003010187041,jobsdb,Java Developer / Analyst Programmer,"<ul><li><span>Have Bachelor's Degree in IT-related disciplines or equivalent: </span><span>Computer Science or Computer Engineering is highly preferrable.</span></li><li><span>Accept fresh graduate</span><span>(Bachelor’s degree) with Java skills.</span></li><li><span>Have combination of experience including but not limited to the following items:</span><ul><li><span>Web-based and database application development</span></li><li><span>Solid skill in </span><span>Java</span><span>,</span><span> web server programming, XML, HTML5, Javascript/Javascript framework</span></li></ul></li><li><span>Have IT experience in the following items</span><span> is preferrable</span><span>:</span><ul><li><span style=""font-family:inherit;font-size:12pt"">Implementation of web-based and database application;</span></li><li><span style=""font-family:inherit;font-size:12pt"">Using the Rapid Application Development/Agile Software Development methodology;</span></li><li><span style=""font-family:inherit;font-size:12pt"">Implementation or maintenance of common services such as messaging notification online payment. client authentication using digital certificates etc provided by EGIS:</span></li><li><span style=""font-family:inherit;font-size:12pt"">Implementation or maintenance of System that support payment using digital wallet</span></li><li><span style=""font-family:inherit;font-size:12pt"">Implementation or maintenance of System adopted virtualization technologies and host on GovCloud or EGIS</span></li></ul></li><li><span>Shall communicate to all levels both in English and in Cantonese; and proficient in English and technical writing</span></li></ul></div>",2023-03-30 22:43:54.737
jobsdb-hk-job-100003010103130,jobsdb-hk-job-100003010103130,jobsdb,Senior Solutions Consultant - Java based Bank IT Product,"<br><br>• Bachelor’s degree in Computer Science, Telecommunications, Engineering or equivalent.<br>• Minimum of 7 years professional experience in design, development and implementation of Java application with proven practical experience.<br>• 5+ years relevant experience building large-scale infrastructure applications or similar experience.<br>• Expertise experience in the Card Payment/Digital Payment/Banking industry.<br>• Expert in object-oriented design, data structures and algorithms.<br>• Expertise experience in Java technologies, frameworks, API, SOAP/RESTful web services, Junit.<br>• Expertise experience with front-end development (Angular, React, TypeScript, HTML5, CSS3 or similar JavaScript framework).<br>• Database experience with SQL, PostgreSQL, Oracle, or similar database technologies.<br>• Experience designing, analyzing and improving efficiency, scalability, and stability of various system resources.<br>• Experience owning a particular component, feature or system.<br>• Experience building and shipping high quality work and achieving high reliability.<br>• Experience improving stability through thoughtful code reviews, appropriate testing, proper rollout, monitoring, and proactive changes.<br>• Experience in utilizing data and analysis to explain technical problems and providing detailed feedback and solutions.<br>• Experience with Linux environment including Shell scripting and software packaging.<br>• Experience with continuous integration, release management and monitoring.<br>• Good understanding in building reliable and scalable backend applications leveraging microservices architecture, messaging, streaming, batch processing and variety of technologies. • Have exposure in Cloud Services Platform, Docker containers, Kubernetes, OpenShift, etc.<br>• Ability to work independently and lead a project.<br>• Experience working with clients and business partners.<br>• Customer-facing experience translating technical concepts and solutions to non-technical audiences.<br>• Proficiency with engineering tools including IDEs, debugger, profilers, version control systems such as GitLab, Git, Maven, Jenkins, JIRA, Confluence Wiki, Artifactory, and etc.<br>• Excellent knowledge of agile software development methodologies and industry best practices. • Genuine interest in technology, software development as well as high levels of self-motivation. • Able to work in a fast-paced, team-oriented environment with minimum supervision.<br>• Ability to work under pressure.<br>• Strong analytical and problem-solving skills.<br>• Strong interpersonal, organizational, and communications skills.<br>• Strong English communication skill (written and oral).<br>• Willing to travel when needed</div>",2023-03-30 22:43:54.879
jobsdb-hk-job-100003010119193,jobsdb-hk-job-100003010119193,jobsdb,Solution Consultant,"</p><ul><li><span style=""font-size:10pt"">Degree or above in IT or any relevant disciplines</span></li><li><span style=""font-size:10pt"">At least 5 years’ solid experience in operating IBM i (previously known as IBM AS/400)</span></li><li><span style=""font-size:10pt"">Experience in COBOL and CL programming language</span></li><li><span style=""font-size:10pt"">Proficient in system analysis, design and coding for Finance payment system</span></li><li><span style=""font-size:10pt"">Solid application knowledge in Credit Card Business is an advantage</span></li><li><span style=""font-size:10pt"">Strong analytical skills, self-motivated and able to work under pressure</span></li><li><span style=""font-size:10pt"">Good communication and interpersonal skills</span></li><li><span style=""font-size:10pt"">Good command in both spoken and written English and Chinese</span></li><li><span style=""font-size:10pt"">Less experience will be considered as Support Analyst / Software Engineer</span></li></ul></div>",2023-03-30 22:43:55.120
28708afee13b598b,28708afee13b598b,indeed,"Lead Product Developer, Omni-channel Messaging","<br> Min. 5 years relevant development experience preferable at international agencies in digital production <br><br> Bachelor’s degree in computer science and related disciplines <br><br> Thorough knowledge in AWS, PHP, MySQL, JavaScript, and Bootstrap <br><br> Strong knowledge of relational database design, object oriented programming, data structures, algorithms and design patterns <br><br> Experience with LAMP, Azure, messaging platforms, natural language processing, chatbot, CRM, payment gateways, Spark AR, and photo editing software is a plus <br><br> Experience in product management is an advantage <br><br> Experience working with end users, project managers and designers <br><br> Strong communication skills and the ability to lead a development team <br><br> Detail-minded, proactive, self-motivated, and willing to take responsibility <br><br> Fluent in English and Cantonese <br><br> ",2023-04-01 21:42:14.869
be0034266fb85051,be0034266fb85051,indeed,Software Engineer,"</h4>  <ul>  <li>Excellent at analytical thinking and problem-solving.</li>   <li>Great team player and self-driven.</li>   <li>Love to learn something new.</li>  </ul> <h4 class=""jobSectionHeader""><b>What you know?</b></h4>  <ul>  <li>Fluent in English.</li> <li>Backend: C# and .Net Core</li>   <li>Front end: Angular (Typescript)</li>   <li>Restful API</li>   <li>CI/CD Flow: Docker, Kubernetes, Jenkins</li>  </ul> <h4 class=""jobSectionHeader""><b>What's nice to have?</b></h4>  <ul>  <li>Experience in Test Driven Development and Domain driven design.</li>   <li>Start up / fintech environment working experience.</li>   <li>Understand Agile / Scrum Methodologies.</li>   <li>Domain knowledge in either one of the areas: Defi, NFT, Payment, Wealth management.</li>  </ul></div>",2023-04-01 21:42:25.431
43c4706d00ca72b9,43c4706d00ca72b9,indeed,"Principal Engineer/Associate Principal Engineer/Senior Lead Engineer, ASIC Design","<li>PhD or Master degree holder in Computer Engineering, Electrical Engineering, Electronic Engineering, Information Engineering or relevant disciplines.</li>   <li>10+ years' working experience in ASIC design. Candidate with less experience will be considered for the position of Associate Principal Engineer or Senior Lead Engineer.</li>   <li>Experience in AI, image processing, video streaming, audio processing, etc.</li>   <li>Experience in digital IC EDA tools and design flows.</li>   <li>Familiar with FPGA design prototyping is a plus.</li>   <li>Familiar with SoC design methodology is a plus.</li>   <li>Excellent communication skills in both English and Chinese and strong team spirit.</li> </ul> <br><br> ",2023-04-01 21:42:28.204
f84528129524442a,f84528129524442a,indeed,Systems Analyst - Finance Systems,"<li>You have some experience working in a finance systems environment.</li>   <li>You have a passion for providing a real quality end user experience</li>   <li>You enjoy working at pace and can respond quickly to embrace a variety of multicultural challenges which come through providing global support services</li>  </ul>  <p><b>Requirements and skills</b></p>  <p><b>Essential skills and knowledge:</b></p>  <ul>  <li>An understanding of accounting concepts </li>  <li>Knowledge of SQL including ability to read and interpret PLSQL queries, functions and procedures and write own queries to extract data from multiple database sources for analysis and investigation</li> <li>Strong team working skills with ability to build trusted relationships with people and groups with diverse backgrounds</li>   <li>Good analytic skills, with ability to solve complex problems and openness in sharing your knowledge and thinking with others</li>   <li>Excellent communication skills (including conversational level in Cantonese/Mandarin), and able to adapt your communications style to the audience</li>  </ul>  <p><b>Desirable</b><b> </b></p> <ul>  <li>Experience with/ knowledge of JD Edwards (not essential)</li>   <li>ITIL qualified and/or good familiarity with IT service management processes</li>   <li>Working with 3rd party managed services &amp; support providers</li>   <li>Business Analysis experience, including gathering requirements, defining specifications, configuration and testing</li>   <li>Basic infrastructure skills </li>  <li>Strong editorial and quality assurance skills</li>   <li>Experience in infrastructure and middleware support</li>  </ul>  <p><b>Required behaviours:</b></p>  <ul>  <li>Highly motivated with a proven ability to manage priorities flexibly and meet deadlines, working on your own or as part of a team</li>   <li>Passion for diversity, recognizing the innovation and competitive edge that comes from a diverse highly skilled team where equal opportunities are truly valued</li>   <li>Excellent communication skills, with ability to adapt your communications style to the audience</li>  </ul> </div><p></p>",2023-04-01 21:42:32.390
8a8d8f831d57fc8b,8a8d8f831d57fc8b,indeed,Senior Backend Software Engineer,"<div><li>4+ years of experience in software development working across the whole software development life-cycle (<i>candidate with 1.5 years+ of experience and/or not fully matching the minimum qualification requirements will be considered for a Software Engineer role.</i>)</li>   <li>Proficient in one or more server-side languages (e.g. Python, Java, Go, C#) </li>  <li>Experienced in building REST API and good knowledge of CRUD operation</li>   <li>Good knowledge in using relational databases and understanding of SQL</li>   <li>Experienced in designing/refactoring/migrating data schema</li>   <li>Good sense of finding and patching bugs</li>   <li>Experienced in maintaining production systems with profiling and bug monitoring </li>  <li>Experienced in designing and developing a complete system (no matter how big or small) from scratch </li>  <li>Prior experience in startups and/or software product companies is a huge plus, but not a must</li> </ul> <br>  <p></p> <br>  <p><b>Preferred Qualifications</b></p> <ul>   <li>Experienced with Python, Django, Django REST framework</li>   <li>Good understanding of different programming paradigm (OOP vs. functional programming)</li>   <li>Experienced in using PostgreSQL</li>   <li>Knowledge of deploying web servers is a plus</li>   <li>Setting up cache layer</li>   <li>Good knowledge of programming design pattern</li>   <li>Experienced in the financial and insurance industry</li>   <li>You advocate software craftsmanship and take pride in your work</li>  </ul> <p><b>Our Tech Stack:</b></p> <ul>   <li>Python</li>   <li>Django &amp; Django REST</li>   <li>TypeScript</li>   <li>AWS</li>   <li>ReactJS</li> </ul> <br>  <p></p> <br> </div>",2023-04-01 21:42:42.594
b33de3c302a3d293,b33de3c302a3d293,indeed,Software Engineer / Associate Software Engineer,"<b>The Person:</b><br> Higher Diploma or above in Electronic Engineering/ Electrical Engineering/ Information Engineering or related disciplines <br><br> Hands-on experience in C++/C#/Python on both Windows and Linux environment <br><br> Knowledge in iOS/Android App development <br><br> Knowledge in IoT <br><br> Knowledge in AI Robotic design and development on ROS is an advantage <br><br> Knowledge in web application development with Django, React, Node.js is an advantage <br><br> Knowledge in embedded Windows/Linux server Administration is an advantage <br><br> Knowledge in electronic and related hardware interface is an advantage <br><br> Attention to details, fast learner, good team player, autonomous and reliable <br><br> Good communication skills in both spoken and written English and Chinese, fluency in Mandarin is an advantage <br><br> Willing to travel occasionally ",2023-04-01 21:42:46.461
8f1fcaf80d3025e6,8f1fcaf80d3025e6,indeed,Backend Software Engineer I/II,"<div> <ul>   <li>1.5+ years of experience in software development working across the whole software development life-cycle</li>   <li>Proficient in one or more server-side languages (e.g. Python, Java, Go, C#) </li>  <li>Experienced in building REST API and good knowledge of CRUD operation</li>   <li>Good knowledge in using relational databases and understanding of SQL</li>   <li>Experienced in designing/refactoring/migrating data schema</li>   <li>Good sense of finding and patching bugs</li>   <li>Experienced in maintaining production systems with profiling and bug monitoring </li>  <li>Experienced in designing and developing a complete system (no matter how big or small) from scratch </li>  <li>Prior experience in startups and/or software product companies is a huge plus, but not a must</li> </ul> <p><br> </p><p><b>Preferred Qualifications</b></p> <ul>   <li>Experienced with Python, Django, Django REST framework</li>   <li>Good understanding of different programming paradigm (OOP vs. functional programming)</li>   <li>Experienced in using PostgreSQL</li>   <li>Knowledge of deploying web servers is a plus</li>   <li>Setting up cache layer</li>   <li>Good knowledge of programming design pattern</li>   <li>Experienced in the financial and insurance industry</li>   <li>You advocate software craftsmanship and take pride in your work</li> </ul> <p><br> </p> <p><b>Our Tech Stack:</b></p> <ul>   <li>Python</li>   <li>Django &amp; Django REST</li>   <li>TypeScript</li>   <li>AWS</li>   <li>ReactJS</li> </ul> <p><br></div>",2023-04-01 21:42:52.385
